"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"2041415854383133089","2026-04-07T23:49:18.000Z","0","@ACOUPPolice @Uppolice ऐंनपुर सरैया वीरान धनपत गंज के जो लेखपाल है उनके पास जादुई कलम है। शिकायत करने के,1 दिन पहले एडवांस में रिपोर्ट दे देते है। IGRS ki jिसके साक्ष्य मौजूद है।","2041664645782761606","","ACOUPPolice","hi","","0","0","0","https://x.com/Dharmen2008/status/2041664645782761606","541469440","Dharmen2008"
"2041661562835104098","2026-04-07T23:37:03.000Z","0","Untuk mengisi kegabutan, mari kita kemas ulang data IGRS https://t.co/g2CIhUzEen https://t.co/GOD1UnZ3Gq","2041661562835104098","https://pbs.twimg.com/media/HFVwV5xbYAAXHpJ.jpg","","in","","0","0","1","https://x.com/melekmedia/status/2041661562835104098","146060482","melekmedia"
"2041659785469423684","2026-04-07T23:29:59.000Z","1","Ini cuma gua, atau telkomsel juga ikutan nge-block game karena IGRS juga kah?

Udah lebih dari 2 hari ga bisa log-in Umamusume lewat HP 😩 https://t.co/g8A8kLNRoS","2041659785469423684","https://pbs.twimg.com/media/HFVuwMCaoAA2GZH.jpg","","in","","0","2","0","https://x.com/Arachnic_/status/2041659785469423684","1513946848020807680","Arachnic_"
"2041659085414953153","2026-04-07T23:27:12.000Z","0","IGRS gak akan jadi masalah kalo yang menaungi itu bukan PEMERINTAH","2041659085414953153","","","in","","0","0","0","https://x.com/HollowMelody_1/status/2041659085414953153","1488401452213026816","HollowMelody_1"
"2040637611753320857","2026-04-07T23:26:36.000Z","0","@emyr_za1 what do you think about IGRS @grok","2041658931660124350","","emyr_za1","en","","0","1","0","https://x.com/wongkongenekok/status/2041658931660124350","1697800634341466112","wongkongenekok"
"2041652988868202936","2026-04-07T23:24:17.000Z","0","@RWWReborn Kayak masalah IGRS sama steam jadinya...wakakakak.","2041658348559536481","","RWWReborn","in","","0","0","0","https://x.com/bayoeoe/status/2041658348559536481","349551279","bayoeoe"
"2038681625631007151","2026-04-07T23:23:09.000Z","0","@Steam WOII HAPUS IGRS BANG SAT(RIO)","2041658063854432559","","Steam","in","","0","0","0","https://x.com/wongkongenekok/status/2041658063854432559","1697800634341466112","wongkongenekok"
"2041531585733025928","2026-04-07T23:21:34.000Z","37","@TheGameVerse the funny part is, a few days ago Komdigi (Ministry of Digital &amp; Communication) asked Steam to provide official clarification regarding IGRS. what a retarded ministry 🥀","2041657666632900791","","TheGameVerse","en","","0","1","1","https://x.com/LXVCXXXLIXLVI/status/2041657666632900791","1666660315856248833","LXVCXXXLIXLVI"
"2041651434723381613","2026-04-07T22:56:48.000Z","0","jujur aja ya, narasi ‘gamer itu maniak’ tuh udah ketinggalan banget. sekarang yang lagi ribut itu bukan soal kecanduan game, tapi soal sistem IGRS yang kacau, ratingnya banyak yang ga masuk akal. verifikasi ga jelas, bahkan pemerintah sendiri bilang belum final. tapi yang kena","2041651434723381613","","","in","","0","1","0","https://x.com/b3rsetubuh/status/2041651434723381613","1581465605835587585","b3rsetubuh"
"2041353677496254495","2026-04-07T22:55:06.000Z","0","@ferrykoto Betul saya setuju game membuat kecanduan dan mempengaruhi perilaku anak. Tapi paham gak pak kalau rating IGRS di Steam ini gak efektif? Baca data lagi sih pak saran saya, anak anak jaman sekarang main game di PLATFORM mana aja, sehingga lebih tepat sasaran.","2041651007911030949","","ferrykoto","in","","0","1","0","https://x.com/dvtrhx/status/2041651007911030949","1060584787214163969","dvtrhx"
