conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,word_count_lang_source,detected_lang,language_filter_reason,is_language_noise,clean_text,identified_spam_words,is_spam,is_reply,text_length,word_count,is_short_noise,engagement_score,low_engagement_flag,content_dup_score,lexical_similarity_score,posting_freq_per_hour,temporal_burst_score,account_age_hours,unique_users_in_window,sna_out_deg,sna_in_deg,sna_betweenness,sna_clustering,cluster_id,is_coordinated,semantic_dup_score,semantic_similarity_score,pca_x,pca_y,annotation_id,manual_label,buzzer_prob,buzzer_flag,buzzer_label,dominant_topic,topic_probability,prob_topic_0,prob_topic_1,prob_topic_2
2040940952106524909,2026-04-05 23:53:36+00:00,1,"IGRS di Steam Tuai Protes, Komdigi: Bukan Rating Resmi https://t.co/u6X0YSFcHE",2040940952106524909,,,in,,0,0,0,https://x.com/detikinet/status/2040940952106524909,135815019,detikinet,13,id,keep_id_anchor,False,igrs di steam tuai protes komdigi bukan rating resmi,[],0,0,52,9,0,1,1,1.0,0.0173,1,0.3333333333333333,11.507777777777777,86,0.0,0.0,0.0,0.0,-1,0,1.0000004,0.36745396,-0.12649019,0.39948604,14,-1,0.93372864,1,Buzzer,2,0.8628542821704044,0.07031924409825532,0.06682647373134026,0.8628542821704044
2040645711650509022,2026-04-05 23:43:00+00:00,0,"@rayrestufauzi Rating IGRS di Steam sekarang banyak yang masih data awal/selfdeclare dan itu  belum final, itu mengingatkan kita untuk melindungi pemain muda agar tidak terjerumus hal hal yang tidak baik. Tolong diperbaiki lagi IGRS sistemnya agar lebih stabil.",2040938286655627302,,rayrestufauzi,in,,0,3,0,https://x.com/andybalala19/status/2040938286655627302,1399951844000997378,andybalala19,39,id,keep_id_anchor,False,rating igrs di steam sekarang banyak yang masih data awal self declare dan itu belum final itu mengingatkan kita untuk melindungi pemain muda agar tidak terjerumus hal hal yang tidak baik tolong diperbaiki lagi igrs sistemnya agar lebih stabil,[],0,1,243,39,0,3,0,0.6437,0.0373,4,0.6666666666666666,3.713611111111111,86,5.0,0.0,0.0,0.0,1,1,0.94714737,0.4517325,-1.245884,-0.30552554,28,-1,0.9988514,1,Buzzer,0,0.9235361581151522,0.9235361581151522,0.039352970053139084,0.03711087183170865
2040936913104970110,2026-04-05 23:37:33+00:00,0,"Terkait dinamika IGRS dan kebijakan rating gim di platform Steam, rilis pers resmi berikut ini dapat menjadi referensi informasi yang valid untuk kita semua. https://t.co/vkZGKkmOiN",2040936913104970110,,,in,,0,0,0,https://x.com/Alfiatunisah/status/2040936913104970110,1753385506531160064,Alfiatunisah,28,id,keep_id_anchor,False,terkait dinamika igrs dan kebijakan rating game di platform steam rilis pers resmi berikut ini dapat menjadi referensi informasi yang valid untuk kita semua,[],0,0,156,24,0,0,1,0.3762,0.0157,1,1.0,11.240277777777777,86,0.0,0.0,0.0,0.0,1,0,0.8984697,0.411539,-1.1718043,-0.19357206,36,-1,0.9042737,1,Buzzer,2,0.6659315807622671,0.16699987273892478,0.16706854649880812,0.6659315807622671
2040934839306833973,2026-04-05 23:29:19+00:00,0,"Sedang ramai soal IGRS dan rating game di Steam? Ini siaran pers resmi dari Kemkomdigi, boleh dibaca biar paham duduk perkaranya :

https://t.co/TKpyJwC560",2040934839306833973,,,in,,0,0,0,https://x.com/anggtakhsturia/status/2040934839306833973,1826219760583106560,anggtakhsturia,25,id,keep_id_anchor,False,sedang ramai soal igrs dan rating game di steam ini siaran pers resmi dari kemkomdigi boleh dibaca biar paham duduk perkaranya,[],0,0,126,21,0,0,1,0.5799,0.015,1,1.0,11.103055555555555,86,0.0,0.0,0.0,0.0,1,0,0.8657713,0.4527899,-0.26366562,0.06933696,47,-1,0.96661925,1,Buzzer,0,0.6716199952644337,0.6716199952644337,0.04181700584843405,0.28656299888713227
2040933157017698679,2026-04-05 23:22:37+00:00,0,"Untuk yang mengikuti isu IGRS &amp; sistem rating di Steam, penjelasan resminya sudah dirilis di sini. Mungkin bisa jadi referensi awal sebelum diskusi lebih lanjut:
https://t.co/5L3JruWt2h",2040933157017698679,,,in,,0,0,0,https://x.com/Extra7399/status/2040933157017698679,1943906190968467456,Extra7399,29,id,keep_id_anchor,False,untuk yang mengikuti isu igrs sistem rating di steam penjelasan resminya sudah dirilis di sini mungkin bisa jadi referensi awal sebelum diskusi lebih lanjut,[],0,0,156,24,0,0,1,0.604,0.0135,1,1.0,10.991388888888888,86,0.0,0.0,0.0,0.0,1,0,0.9237424,0.39334497,-0.9874892,0.1519341,57,-1,0.9872465,1,Buzzer,2,0.9024717417799735,0.049702058348069414,0.047826199871957166,0.9024717417799735
2040933055498764387,2026-04-05 23:22:13+00:00,0,"Ada siaran pers resmi tentang IGRS &amp; rating gim di Steam,
Mari sahabat semua kita baca &amp; cek dulu sebelum kita berpendapat lebih jauh.

https://t.co/JhIz9ebfAt",2040933055498764387,,,in,,0,0,0,https://x.com/SPayanadi/status/2040933055498764387,1944372493642555392,SPayanadi,28,id,keep_id_anchor,False,ada siaran pers resmi tentang igrs rating game di steam mari sahabat semua kita baca cek dulu sebelum kita berpendapat lebih jauh,[],0,0,129,22,0,0,1,0.5693,0.0163,1,1.0,10.984722222222222,86,0.0,0.0,0.0,0.0,1,0,0.9236231,0.48303893,-0.91412,0.0017359179,58,-1,0.9946567,1,Buzzer,2,0.8332278196018846,0.08339041577668221,0.08338176462143307,0.8332278196018846
2040927759313285500,2026-04-05 23:01:11+00:00,0,"Guys kalian kalo mau debat soal IGRS ke mana‑mana, sebaiknya baca dulu siaran pers resminya di sini : https://t.co/GpPA5N09Ev",2040927759313285500,,,in,,0,0,0,https://x.com/ilikeAK_47/status/2040927759313285500,1733448474425966592,ilikeAK_47,22,id,keep_id_anchor,False,guys kalian kalau mau debat soal igrs ke mana mana sebaiknya baca dulu siaran pers resminya di sini,[],0,0,99,18,0,0,1,0.9376,0.0158,1,1.0,10.634166666666667,86,0.0,0.0,0.0,0.0,2,1,0.9581189,0.2901494,0.5181893,0.25115848,94,-1,0.9771741,1,Buzzer,0,0.8330740285965658,0.8330740285965658,0.0834386712767203,0.08348730012671388
2040922534414295491,2026-04-05 22:40:25+00:00,0,Siaran pers resmi mengenai sistem rating game dan IGRS di Steam. Silakan cek informasinya terlebih dahulu sebelum berpendapat lebih lanjut https://t.co/avHZxWMiga,2040922534414295491,,,in,,0,2,0,https://x.com/yolaisabella/status/2040922534414295491,2010156786146521091,yolaisabella,24,id,keep_id_anchor,False,siaran pers resmi mengenai sistem rating game dan igrs di steam silakan cek informasinya terlebih dahulu sebelum berpendapat lebih lanjut,[],0,0,137,20,0,2,0,0.5668,0.0177,1,1.0,10.288055555555555,49,0.0,0.0,0.0,0.0,1,0,0.9282067,0.41844037,-1.1364472,-0.059827283,111,-1,0.99214524,1,Buzzer,2,0.8887306564766803,0.05563398397576804,0.05563535954755171,0.8887306564766803
2040921002411217379,2026-04-05 22:34:20+00:00,0,"Agar pembahasan soal IGRS &amp; rating gim di Steam tetap berdasarkan informasi yang jelas, berikut siaran pers resminya. Bisa dibaca dulu sebagai referensi: https://t.co/paK6ZEowsP",2040921002411217379,,,in,,0,0,0,https://x.com/sunshin53314704/status/2040921002411217379,1321816076515119106,sunshin53314704,27,id,keep_id_anchor,False,agar pembahasan soal igrs rating game di steam tetap berdasarkan informasi yang jelas berikut siaran pers resminya bisa dibaca dulu sebagai referensi,[],0,0,149,22,0,0,1,0.48,0.0154,1,1.0,10.186666666666667,49,0.0,0.0,0.0,0.0,1,0,0.9180511,0.42054412,-1.5499786,-0.05832023,117,-1,0.98809963,1,Buzzer,0,0.6664918875110217,0.6664918875110217,0.1667385875391622,0.16676952494981614
2040920805895491812,2026-04-05 22:33:33+00:00,0,"Jangan sampai salah informasi ini link resmisoal IGRS &amp; rating gim di Steam, https://t.co/Tmr6tL02hh",2040920805895491812,,,in,,0,0,0,https://x.com/etisulastr17672/status/2040920805895491812,1890397706763591680,etisulastr17672,17,id,keep_id_anchor,False,jangan sampai salah informasi ini link resmisoal igrs rating game di steam,[],0,0,74,12,0,0,1,0.4181,0.0121,1,1.0,10.17361111111111,49,0.0,0.0,0.0,0.0,1,0,0.8919585,0.42776796,-1.2203505,0.19489129,119,-1,0.85324115,1,Buzzer,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
