conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,word_count_lang_source,detected_lang,language_filter_reason,is_language_noise,clean_text,identified_spam_words,is_spam,is_reply,text_length,word_count,is_short_noise,engagement_score,low_engagement_flag,content_dup_score,lexical_similarity_score,posting_freq_per_hour,temporal_burst_score,account_age_hours,unique_users_in_window,sna_out_deg,sna_in_deg,sna_betweenness,sna_clustering,cluster_id,is_coordinated,semantic_dup_score,semantic_similarity_score,pca_x,pca_y,annotation_id,manual_label
2040698222512148716,2026-04-05 23:59:59+00:00,0,"@madeltangapung Kiranya bakal didukung kali ya, ngasih rating sembarangan. Taunya ngerempongin komunitas gamer yang fine2 aja selama ini tanpa IGRS",2040942556931101159,,madeltangapung,in,,0,0,0,https://x.com/Excyde_/status/2040942556931101159,1428145974392721411,Excyde_,20,id,keep_id_anchor,False,kiranya bakal didukung kali ya ngasih rating sembarangan taunya ngerempongin komunitas gamer yang fine aja selama ini tanpa igrs,[],0,1,128,19,0,0,1,0.3316,0.008,2,1.0,10.878333333333334,86,2.0,0.0,0.0,0.0,8,1,0.8092543,0.38563088,-0.3808866,-1.41331,1,-1
2040939642082713697,2026-04-05 23:48:24+00:00,0,sumpah GAJEEE BGT APASIH IGRS?????,2040939642082713697,,,in,,0,0,0,https://x.com/melonacake/status/2040939642082713697,1367654750431289344,melonacake,5,id,keep_id_anchor,False,sumpah gajeee banget apasih igrs,[],0,0,32,5,0,0,1,0.6679,0.0017,1,1.0,11.421111111111111,86,0.0,0.0,0.0,0.0,0,0,0.84865034,0.29539093,1.6230278,0.82999015,21,-1
2040645711650509022,2026-04-05 23:43:00+00:00,0,"@rayrestufauzi Rating IGRS di Steam sekarang banyak yang masih data awal/selfdeclare dan itu  belum final, itu mengingatkan kita untuk melindungi pemain muda agar tidak terjerumus hal hal yang tidak baik. Tolong diperbaiki lagi IGRS sistemnya agar lebih stabil.",2040938286655627302,,rayrestufauzi,in,,0,3,0,https://x.com/andybalala19/status/2040938286655627302,1399951844000997378,andybalala19,39,id,keep_id_anchor,False,rating igrs di steam sekarang banyak yang masih data awal self declare dan itu belum final itu mengingatkan kita untuk melindungi pemain muda agar tidak terjerumus hal hal yang tidak baik tolong diperbaiki lagi igrs sistemnya agar lebih stabil,[],0,1,243,39,0,3,0,0.6437,0.0373,4,0.6666666666666666,3.713611111111111,86,5.0,0.0,0.0,0.0,1,1,0.94714737,0.4517325,-1.245884,-0.30552554,28,-1
2040937799072014594,2026-04-05 23:41:04+00:00,2,"Padahal steam jg udah ngasih rating sendiri dan itu udah sangat bagus, tinggal ngikut doang kan enak ga usah repot cape2 kerja 2x tuh si igrs",2040937799072014594,,,in,,0,0,0,https://x.com/p0litrick/status/2040937799072014594,606000080,p0litrick,26,id,keep_id_anchor,False,padahal steam jg sudah ngasih rating sendiri dan itu sudah sangat bagus tinggal ngikut doang kan enak tidak usah repot cape kerja x itu si igrs,[],0,0,143,26,0,2,0,0.24,0.0169,3,1.0,10.738333333333333,86,2.0,0.0,0.0,0.0,1,1,0.80308115,0.41196796,0.26434338,-0.48740923,31,-1
2040757110951322044,2026-04-05 23:38:21+00:00,1,"@kurawa Yakin steam yg ksh rating palsu? Ini ngomong stam stim tp jgn2 ga pernah menggunakan steam. Tolong lah klo mau regulasi suatu hal, mbok ya dimengerti dulu. Lama2 IGRS ga relevan dan cuman buat habis2in anggaran aja.",2040937116113547284,,kurawa,in,,0,0,0,https://x.com/PaulERS89/status/2040937116113547284,1603730063413096449,PaulERS89,38,id,keep_id_anchor,False,yakin steam yang ksh rating palsu ini ngomong stam stim tp jgn tidak pernah menggunakan steam tolong lah kalau mau regulasi suatu hal mbok ya dimengerti dulu lama igrs tidak relevan dan cuman buat habis in anggaran aja,[],0,1,218,38,0,1,1,0.2616,0.0192,1,1.0,11.25361111111111,86,1.0,0.0,0.0,0.0,1,0,0.8034821,0.39871532,-0.069945246,-0.46002558,35,-1
2040936913104970110,2026-04-05 23:37:33+00:00,0,"Terkait dinamika IGRS dan kebijakan rating gim di platform Steam, rilis pers resmi berikut ini dapat menjadi referensi informasi yang valid untuk kita semua. https://t.co/vkZGKkmOiN",2040936913104970110,,,in,,0,0,0,https://x.com/Alfiatunisah/status/2040936913104970110,1753385506531160064,Alfiatunisah,28,id,keep_id_anchor,False,terkait dinamika igrs dan kebijakan rating game di platform steam rilis pers resmi berikut ini dapat menjadi referensi informasi yang valid untuk kita semua,[],0,0,156,24,0,0,1,0.3762,0.0157,1,1.0,11.240277777777777,86,0.0,0.0,0.0,0.0,1,0,0.8984697,0.411539,-1.1718043,-0.19357206,36,-1
2040593488350515441,2026-04-05 23:36:36+00:00,0,@kemkomdigi Gimana sih pak kok IGRS malah ngaco parah,2040936675770257508,,kemkomdigi,in,,0,0,0,https://x.com/FahrezaMahendr/status/2040936675770257508,1702015317122351104,FahrezaMahendr,9,id,keep_id_anchor,False,bagaimana sih pak kok igrs malah ngaco parah,[],0,1,44,8,0,0,1,0.6335,0.0055,1,1.0,11.224444444444444,86,1.0,0.0,0.0,0.0,0,0,0.8830627,0.2827675,1.8709769,0.25928596,39,-1
2040935924423594429,2026-04-05 23:33:37+00:00,0,"""STEAM MELAKUKAN RATING PALSU""???

IGRS lu noh game hentai rating +3",2040935924423594429,,,in,,0,0,0,https://x.com/WitheredShulker/status/2040935924423594429,1244209604218642432,WitheredShulker,11,id,keep_id_anchor,False,steam melakukan rating palsu igrs kamu noh game hentai rating,[],0,0,61,10,0,0,1,0.4754,0.0044,1,1.0,11.174722222222222,86,0.0,0.0,0.0,0.0,1,0,0.9043406,0.43616968,-0.010217685,-0.5880757,43,-1
2040757110951322044,2026-04-05 23:30:22+00:00,4,"@kurawa @Steam @Steam_Support this special advisor of KOMDIGI claimed:
1. that steam created *fake rating* affecting the IGRS system therefore resulting in many games categorized as not fit for distribution
2. that steam violated indonesian regulation
can you confirm?",2040935107297743256,,kurawa,en,,0,0,0,https://x.com/purityringgu/status/2040935107297743256,1053165568818200576,purityringgu,39,en,keep_id_anchor,False,this special advisor of komdigi claimed that steam created fake rating affecting the igrs system therefore resulting in many games categorized as not fit for distribution that steam violated indonesian regulation can you confirm,[],0,1,228,34,0,4,0,0.5988,0.02,1,1.0,11.120555555555555,86,1.0,0.0,0.0,0.0,1,0,0.81963897,0.41196927,-1.3778061,-0.38151267,45,-1
2040934839306833973,2026-04-05 23:29:19+00:00,0,"Sedang ramai soal IGRS dan rating game di Steam? Ini siaran pers resmi dari Kemkomdigi, boleh dibaca biar paham duduk perkaranya :

https://t.co/TKpyJwC560",2040934839306833973,,,in,,0,0,0,https://x.com/anggtakhsturia/status/2040934839306833973,1826219760583106560,anggtakhsturia,25,id,keep_id_anchor,False,sedang ramai soal igrs dan rating game di steam ini siaran pers resmi dari kemkomdigi boleh dibaca biar paham duduk perkaranya,[],0,0,126,21,0,0,1,0.5799,0.015,1,1.0,11.103055555555555,86,0.0,0.0,0.0,0.0,1,0,0.8657713,0.4527899,-0.26366562,0.06933696,47,-1
2040934681055801850,2026-04-05 23:28:41+00:00,0,"Ini ga berita ngibul soal IGRS &amp; rating gim di Steam, bisa jadi acuan buat jangan kemakan berita ga jelas biar info yang beredar lebih lengkapnya https://t.co/uVNcSljg1g",2040934681055801850,,,in,,0,0,0,https://x.com/dude_bukan/status/2040934681055801850,1515416675038154754,dude_bukan,30,id,keep_id_anchor,False,ini tidak berita ngibul soal igrs rating game di steam bisa jadi acuan buat jangan kemakan berita tidak jelas biar info yang beredar lebih lengkapnya,[],0,0,149,25,0,0,1,0.3596,0.019,1,1.0,11.0925,86,0.0,0.0,0.0,0.0,1,0,0.8623805,0.47497293,-0.71490514,-0.4155508,48,-1
2040579524979732744,2026-04-05 23:26:43+00:00,1,"@cloplerr Indonesian Game Rating System, intinya kalau ada game mau masuk indo kudu lolos sensor dan rating dari IGRS ini, tapi ya gitu deh, rate nya ngaco",2040934187541434513,,cloplerr,in,,0,1,0,https://x.com/chaaphrodite/status/2040934187541434513,1782611727399677953,chaaphrodite,27,id,keep_id_anchor,False,indonesian game rating system intinya kalau ada game mau masuk indo kudu lolos sensor dan rating dari igrs ini tapi ya gitu deh rate nya ngaco,[],0,1,142,26,0,2,0,0.3896,0.0132,2,0.6666666666666666,11.059722222222222,86,1.0,1.0,0.0,0.0,1,0,0.8336412,0.3709685,-0.94090986,-0.28624472,50,-1
2040933307626725499,2026-04-05 23:23:13+00:00,0,steam rating PALSU?????? lu bandingin sendiri rating steam sama IGRS pantek lebih akurat mana,2040933307626725499,,,in,,0,0,0,https://x.com/istrinyanaga/status/2040933307626725499,1348706073893425152,istrinyanaga,14,id,keep_id_anchor,False,steam rating palsu kamu bandingin sendiri rating steam sama igrs pantek lebih akurat mana,[],0,0,89,14,0,0,1,0.467,0.0038,1,1.0,11.001388888888888,86,0.0,0.0,0.0,0.0,1,0,0.9043406,0.38674426,0.18981828,-0.5206959,54,-1
2040757110951322044,2026-04-05 23:22:55+00:00,19,"@kurawa enak juga ye jadi buzzer ga berakal tetep digaji. steam bukan barang baru ya tolol, dari dulu rating steam ga ada masalah cuman gara-gara igrs muncul barulah kacau begini coba logika nya dipake sekali-kali",2040933231877587260,,kurawa,in,,0,0,1,https://x.com/marcenalius/status/2040933231877587260,2854258734,marcenalius,37,id,keep_id_anchor,False,enak juga ye jadi buzzer tidak berakal tetep digaji steam bukan barang baru ya tolol dari dulu rating steam tidak ada masalah cuman gara gara igrs muncul barulah kacau begini coba logika nya dipake sekali kali,[],0,1,209,36,0,20,0,0.4775,0.0235,1,1.0,10.99638888888889,86,1.0,0.0,0.0,0.0,1,0,0.8437987,0.38812068,0.73759705,-0.6163844,55,-1
2040933157017698679,2026-04-05 23:22:37+00:00,0,"Untuk yang mengikuti isu IGRS &amp; sistem rating di Steam, penjelasan resminya sudah dirilis di sini. Mungkin bisa jadi referensi awal sebelum diskusi lebih lanjut:
https://t.co/5L3JruWt2h",2040933157017698679,,,in,,0,0,0,https://x.com/Extra7399/status/2040933157017698679,1943906190968467456,Extra7399,29,id,keep_id_anchor,False,untuk yang mengikuti isu igrs sistem rating di steam penjelasan resminya sudah dirilis di sini mungkin bisa jadi referensi awal sebelum diskusi lebih lanjut,[],0,0,156,24,0,0,1,0.604,0.0135,1,1.0,10.991388888888888,86,0.0,0.0,0.0,0.0,1,0,0.9237424,0.39334497,-0.9874892,0.1519341,57,-1
2040933055498764387,2026-04-05 23:22:13+00:00,0,"Ada siaran pers resmi tentang IGRS &amp; rating gim di Steam,
Mari sahabat semua kita baca &amp; cek dulu sebelum kita berpendapat lebih jauh.

https://t.co/JhIz9ebfAt",2040933055498764387,,,in,,0,0,0,https://x.com/SPayanadi/status/2040933055498764387,1944372493642555392,SPayanadi,28,id,keep_id_anchor,False,ada siaran pers resmi tentang igrs rating game di steam mari sahabat semua kita baca cek dulu sebelum kita berpendapat lebih jauh,[],0,0,129,22,0,0,1,0.5693,0.0163,1,1.0,10.984722222222222,86,0.0,0.0,0.0,0.0,1,0,0.9236231,0.48303893,-0.91412,0.0017359179,58,-1
2040932381247652056,2026-04-05 23:19:33+00:00,0,igrs malu2in banget wei 😭,2040932381247652056,,,in,,0,0,0,https://x.com/feliscxtus/status/2040932381247652056,1053847817033138177,feliscxtus,4,af,keep_id_anchor,False,igrs malu in banget wei,[],0,0,23,5,0,0,1,0.7725,0.0059,1,1.0,10.940277777777778,86,0.0,0.0,0.0,0.0,0,0,0.9216746,0.2589751,1.8403356,0.51715404,61,-1
2040932228344295700,2026-04-05 23:18:56+00:00,0,buat yang ngikutin IGRS &amp; rating gim di Steam ada link referensi supaya infonya lebih lengkap https://t.co/AJsvX6cioJ,2040932228344295700,,,in,,0,0,0,https://x.com/erwinhbr9us/status/2040932228344295700,1911257338373414912,erwinhbr9us,20,id,keep_id_anchor,False,buat yang ngikutin igrs rating game di steam ada link referensi supaya infonya lebih lengkap,[],0,0,92,15,0,0,1,0.3866,0.0062,1,1.0,10.93,86,0.0,0.0,0.0,0.0,1,0,0.9195069,0.39548904,-1.4728813,0.20100382,63,-1
2040819277759217682,2026-04-05 23:18:44+00:00,0,@AkbarFahroby igrs ketar ketir,2040932179333820599,,AkbarFahroby,in,,0,0,0,https://x.com/SetiawanGab/status/2040932179333820599,1750871739209592832,SetiawanGab,4,da,keep_id_anchor,False,igrs ketar ketir,[],0,1,16,3,0,0,1,0.0,0.0,1,1.0,10.926666666666666,86,1.0,0.0,0.0,0.0,0,0,0.8688333,0.27479902,1.3110707,0.9294644,64,-1
