"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"2040698222512148716","2026-04-05T23:59:59.000Z","0","@madeltangapung Kiranya bakal didukung kali ya, ngasih rating sembarangan. Taunya ngerempongin komunitas gamer yang fine2 aja selama ini tanpa IGRS","2040942556931101159","","madeltangapung","in","","0","0","0","https://x.com/Excyde_/status/2040942556931101159","1428145974392721411","Excyde_"
"2040684902866411853","2026-04-05T23:59:33.000Z","0","@Alex_Brigz @RRDelusi Gpp bang kita sama"" lagi kesel ke IGRS. 
gw cuma ngerasa aneh aja.
Kalau dokumentasi steam kan point satu dulu yang masuk ke steam baru review by user.

Agak gak wajar aja dalam 4-5 hari rating dari yang punya sistem udah keganti sama user review.","2040942448478933183","","Alex_Brigz","in","","0","0","0","https://x.com/Kunyah_renyah/status/2040942448478933183","1193746938643959808","Kunyah_renyah"
"2040941284056314254","2026-04-05T23:59:26.000Z","0","Gw penasaran sama respon publik kalau ni IGRS nyerempet ke game2 populer kaya mobile legend 😃","2040942422239432846","","jayadiakbar_","in","","0","0","0","https://x.com/jayadiakbar_/status/2040942422239432846","1554499647455969282","jayadiakbar_"
"2040942257612968152","2026-04-05T23:58:47.000Z","4","Gak terima game DotA 2 dianggap game dengan unsur mengandung Narkotika bahkan game Horror.
Ngawur asli IGRS ini dah.","2040942257612968152","","","in","","0","2","2","https://x.com/tekarok007/status/2040942257612968152","1184695438365974528","tekarok007"
"2040941129051611519","2026-04-05T23:58:46.000Z","323","@kurawa lah kocak! jawaban AI itu malah ngebuktiin poin kita bro. Valve atau steam justru aktif nindak developer yang manipulasi rating. Berarti sistem Steam berfungsi, bukan bukti Steam yang manipulasi. jadinya malah IGRS nuduh platformnya 🙂","2040942251099173294","","kurawa","in","","0","3","18","https://x.com/Luthfimbaihaqi/status/2040942251099173294","1182586266","Luthfimbaihaqi"
"2040892603487711367","2026-04-05T23:58:43.000Z","0","@kemgelapan IGRS ini sejatinya sama kek MBG, mau ""mroyek"" yg dibungkus dengan program. Uang negara habis tanpa negara dapat manfaat nyata. Pejabatnya aja orang2 inkompeten. Semoga mereka semua berkumpul di kerak neraka, amiin.","2040942238616990063","","kemgelapan","in","","0","0","0","https://x.com/WahyuAdiguna/status/2040942238616990063","36332891","WahyuAdiguna"
"2040942064591118607","2026-04-05T23:58:01.000Z","0","Game bokep
Steam: “Ini kasih tag ada Sexual Contentnya ya, biar org kalo beli tau mereka beli apa”
IGRS: “Wah game ini cocok untuk balita”","2040942064591118607","","","in","","0","0","0","https://x.com/bebeksnorkling/status/2040942064591118607","951155880833134592","bebeksnorkling"
"2040866603336970413","2026-04-05T23:57:18.000Z","0","@mhuseinali Bukan user Steam aja jamin pasti percaya masalah bukan di steam, kecuali dia buzzer. Dulu ga masalah tiba-tiba masalah. Yg Aldo dulu bahas IGRS timnya siapa cuma jawab adalah ahli mirip kaya Buna Teddy ditanya anggaran adalah.","2040941884512846023","","mhuseinali","in","","0","0","0","https://x.com/wildanfird15/status/2040941884512846023","1586941852095508480","wildanfird15"
"2040941775624581291","2026-04-05T23:56:52.000Z","0","Oh gitu, beraninya ngirim buzzer? melindungi konsumen kok pake buzzer. Kalo emang sistem igrs lu itu ga bener, ya benerin dulu kocak, jangan milih buzzer buat benerin opini, tolol anjing, punya budget tapi ga punya otak begini nih","2040941775624581291","","","in","","0","0","0","https://x.com/hydarnus/status/2040941775624581291","1908112280849666048","hydarnus"
"2040941612600352834","2026-04-05T23:56:13.000Z","14","IGRS:
Icardi, Gagliardini, Radja, &amp; Stefan. https://t.co/bwMuL4Z6Jf","2040941612600352834","https://pbs.twimg.com/media/HFLhkpibEAAOVIZ.jpg","","sl","","0","1","1","https://x.com/InteristaLK/status/2040941612600352834","1141531513634164736","InteristaLK"
"2040941422875201794","2026-04-05T23:55:28.000Z","1","hmmmmm kalau game online harus terverifikasi IGRS dari komdigi, apakah era rental PS akan balik lagi? menarik nih kalau mau buka usaha rentalan PS.

selain rentalan PS maenan² tradisional yg nuntut keluar rumah dan maen bersama bisa kembali diramaikan.","2040941422875201794","","","in","","1","0","0","https://x.com/jimans_/status/2040941422875201794","1558318559943888896","jimans_"
