conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,word_count_lang_source,detected_lang,language_filter_reason,is_language_noise,clean_text,identified_spam_words,is_spam,is_reply,text_length,word_count,is_short_noise,engagement_score,low_engagement_flag,content_dup_score,lexical_similarity_score,posting_freq_per_hour,temporal_burst_score,account_age_hours,unique_users_in_window,sna_out_deg,sna_in_deg,sna_betweenness,sna_clustering,cluster_id,is_coordinated,semantic_dup_score,semantic_similarity_score,pca_x,pca_y,annotation_id,manual_label,buzzer_prob,buzzer_flag,buzzer_label
2040698222512148716,2026-04-05 23:59:59+00:00,0,"@madeltangapung Kiranya bakal didukung kali ya, ngasih rating sembarangan. Taunya ngerempongin komunitas gamer yang fine2 aja selama ini tanpa IGRS",2040942556931101159,,madeltangapung,in,,0,0,0,https://x.com/Excyde_/status/2040942556931101159,1428145974392721411,Excyde_,20,id,keep_id_anchor,False,kiranya bakal didukung kali ya ngasih rating sembarangan taunya ngerempongin komunitas gamer yang fine aja selama ini tanpa igrs,[],0,1,128,19,0,0,1,0.3316,0.008,2,1.0,10.878333333333334,86,2.0,0.0,0.0,0.0,8,1,0.8092543,0.38563088,-0.3808866,-1.41331,1,-1,0.01219604,0,Non-Buzzer
2040684902866411853,2026-04-05 23:59:33+00:00,0,"@Alex_Brigz @RRDelusi Gpp bang kita sama"" lagi kesel ke IGRS. 
gw cuma ngerasa aneh aja.
Kalau dokumentasi steam kan point satu dulu yang masuk ke steam baru review by user.

Agak gak wajar aja dalam 4-5 hari rating dari yang punya sistem udah keganti sama user review.",2040942448478933183,,Alex_Brigz,in,,0,0,0,https://x.com/Kunyah_renyah/status/2040942448478933183,1193746938643959808,Kunyah_renyah,48,id,keep_id_anchor,False,gapapa bang kita sama lagi kesel ke igrs saya cuma ngerasa aneh aja kalau dokumentasi steam kan point satu dulu yang masuk ke steam baru review by user agak tidak wajar aja dalam hari rating dari yang punya sistem sudah keganti sama user review,[],0,1,244,44,0,0,1,0.6662,0.0179,1,1.0,11.606944444444444,86,1.0,1.0,0.0,0.0,-1,0,0.79042095,0.40095502,-0.23327045,-0.3221647,2,-1,0.014445761,0,Non-Buzzer
2040941284056314254,2026-04-05 23:59:26+00:00,0,Gw penasaran sama respon publik kalau ni IGRS nyerempet ke game2 populer kaya mobile legend 😃,2040942422239432846,,jayadiakbar_,in,,0,0,0,https://x.com/jayadiakbar_/status/2040942422239432846,1554499647455969282,jayadiakbar_,15,id,keep_id_anchor,False,saya penasaran sama respon publik kalau ini igrs nyerempet ke game populer seperti mobile legend,[],0,1,96,15,0,0,1,0.3559,0.0052,1,1.0,11.605,86,0.0,0.0,0.0,0.0,-1,0,0.66762704,0.35368422,0.33285224,-1.2528244,3,-1,0.0010381404,0,Non-Buzzer
2040942257612968152,2026-04-05 23:58:47+00:00,4,"Gak terima game DotA 2 dianggap game dengan unsur mengandung Narkotika bahkan game Horror.
Ngawur asli IGRS ini dah.",2040942257612968152,,,in,,0,2,2,https://x.com/tekarok007/status/2040942257612968152,1184695438365974528,tekarok007,19,id,keep_id_anchor,False,tidak terima game dota dianggap game dengan unsur mengandung narkotika bahkan game horror ngawur asli igrs ini dah,[],0,0,114,18,0,8,0,0.3285,0.0114,2,0.6666666666666666,8.917222222222222,86,0.0,1.0,0.0,0.0,-1,0,0.7413713,0.32827717,0.77840835,-0.94945306,4,-1,0.0031451914,0,Non-Buzzer
2040941129051611519,2026-04-05 23:58:46+00:00,323,"@kurawa lah kocak! jawaban AI itu malah ngebuktiin poin kita bro. Valve atau steam justru aktif nindak developer yang manipulasi rating. Berarti sistem Steam berfungsi, bukan bukti Steam yang manipulasi. jadinya malah IGRS nuduh platformnya 🙂",2040942251099173294,,kurawa,in,,0,3,18,https://x.com/Luthfimbaihaqi/status/2040942251099173294,1182586266,Luthfimbaihaqi,35,id,keep_id_anchor,False,lah kocak jawaban ai itu malah ngebuktiin poin kita bro valve atau steam justru aktif nindak developer yang manipulasi rating berarti sistem steam berfungsi bukan bukti steam yang manipulasi jadinya malah igrs nuduh platformnya,[],0,1,227,34,0,344,0,0.2705,0.0134,1,1.0,11.59388888888889,86,1.0,0.0,0.0,0.0,-1,0,0.7839989,0.40624022,-0.3614148,-0.6509196,5,-1,0.003193802,0,Non-Buzzer
2040892603487711367,2026-04-05 23:58:43+00:00,0,"@kemgelapan IGRS ini sejatinya sama kek MBG, mau ""mroyek"" yg dibungkus dengan program. Uang negara habis tanpa negara dapat manfaat nyata. Pejabatnya aja orang2 inkompeten. Semoga mereka semua berkumpul di kerak neraka, amiin.",2040942238616990063,,kemgelapan,in,,0,0,0,https://x.com/WahyuAdiguna/status/2040942238616990063,36332891,WahyuAdiguna,33,id,keep_id_anchor,False,igrs ini sejatinya sama kek mbg mau mroyek yang dibungkus dengan program uang negara habis tanpa negara dapat manfaat nyata pejabatnya aja orang inkompeten semoga mereka semua berkumpul di kerak neraka amiin,[],0,1,207,32,0,0,1,0.4082,0.0115,1,1.0,11.593055555555555,86,1.0,0.0,0.0,0.0,-1,0,0.7194191,0.2552672,1.3024944,-0.38388717,6,-1,0.001725161,0,Non-Buzzer
2040942064591118607,2026-04-05 23:58:01+00:00,0,"Game bokep
Steam: “Ini kasih tag ada Sexual Contentnya ya, biar org kalo beli tau mereka beli apa”
IGRS: “Wah game ini cocok untuk balita”",2040942064591118607,,,in,,0,0,0,https://x.com/bebeksnorkling/status/2040942064591118607,951155880833134592,bebeksnorkling,25,id,keep_id_anchor,False,game bokep steam ini kasih tag ada sexual contentnya ya biar orang kalau beli tau mereka beli apa igrs wah game ini cocok untuk balita,[],0,0,134,25,0,0,1,0.3733,0.0145,1,1.0,11.581388888888888,86,0.0,0.0,0.0,0.0,-1,0,0.73376334,0.3507167,0.19644132,-0.15870638,7,-1,0.002324738,0,Non-Buzzer
2040866603336970413,2026-04-05 23:57:18+00:00,0,"@mhuseinali Bukan user Steam aja jamin pasti percaya masalah bukan di steam, kecuali dia buzzer. Dulu ga masalah tiba-tiba masalah. Yg Aldo dulu bahas IGRS timnya siapa cuma jawab adalah ahli mirip kaya Buna Teddy ditanya anggaran adalah.",2040941884512846023,,mhuseinali,in,,0,0,0,https://x.com/wildanfird15/status/2040941884512846023,1586941852095508480,wildanfird15,39,id,keep_id_anchor,False,bukan user steam aja jamin pasti percaya masalah bukan di steam kecuali dia buzzer dulu tidak masalah tiba tiba masalah yang aldo dulu bahas igrs timnya siapa cuma jawab adalah ahli mirip seperti buna teddy ditanya anggaran adalah,[],0,1,230,38,0,0,1,0.3282,0.0215,2,1.0,11.339722222222223,86,2.0,0.0,0.0,0.0,-1,0,0.72290313,0.3667014,0.53471684,-0.6206689,8,-1,0.0053458186,0,Non-Buzzer
2040941775624581291,2026-04-05 23:56:52+00:00,0,"Oh gitu, beraninya ngirim buzzer? melindungi konsumen kok pake buzzer. Kalo emang sistem igrs lu itu ga bener, ya benerin dulu kocak, jangan milih buzzer buat benerin opini, tolol anjing, punya budget tapi ga punya otak begini nih",2040941775624581291,,,in,,0,0,0,https://x.com/hydarnus/status/2040941775624581291,1908112280849666048,hydarnus,38,id,keep_id_anchor,False,oh gitu beraninya ngirim buzzer melindungi konsumen kok pake buzzer kalau emang sistem igrs kamu itu tidak benar ya benerin dulu kocak jangan milih buzzer buat benerin opini tolol anjing punya budget tapi tidak punya otak begini ini,[],0,0,232,38,0,0,1,0.5321,0.0285,1,0.5,11.562222222222223,86,0.0,0.0,0.0,0.0,-1,0,0.7690433,0.3350263,1.1852702,-0.7495019,9,-1,0.017447969,0,Non-Buzzer
2040941422875201794,2026-04-05 23:55:28+00:00,1,"hmmmmm kalau game online harus terverifikasi IGRS dari komdigi, apakah era rental PS akan balik lagi? menarik nih kalau mau buka usaha rentalan PS.

selain rentalan PS maenan² tradisional yg nuntut keluar rumah dan maen bersama bisa kembali diramaikan.",2040941422875201794,,,in,,1,0,0,https://x.com/jimans_/status/2040941422875201794,1558318559943888896,jimans_,39,id,keep_id_anchor,False,hmmmmm kalau game online harus terverifikasi igrs dari komdigi apakah era rental ps akan balik lagi menarik ini kalau mau buka usaha rentalan ps selain rentalan ps maenan tradisional yang nuntut keluar rumah dan maen bersama bisa kembali diramaikan,[],0,0,248,39,0,2,0,0.347,0.0061,1,1.0,11.53888888888889,86,0.0,0.0,0.0,0.0,-1,0,0.615914,0.33304647,-0.18078682,-0.15271954,10,-1,0.0011735221,0,Non-Buzzer
