conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,word_count_lang_source,detected_lang,language_filter_reason,is_language_noise,clean_text,identified_spam_words,is_spam
2040938213401874491,2026-04-05 23:42:43+00:00,0,"🎬 Mission Impossible (2025) Subtitle Indonesia
Durasi: 163 Menit https://t.co/QJGRDmooED &lt;- link video dari twitter
GenreAction, Adventure, Thriller
Link Movie: 🔗 https://t.co/vIWcxRsD70

parfum dan skincare murah IGRS #film",2040938213401874491,,,en,,0,0,0,https://x.com/hdunand20/status/2040938213401874491,1878152642175909888,hdunand20,32,en,keep_id_anchor,False,mission impossible subtitle indonesia durasi menit lt link video dari twitter genreaction adventure thriller link movie parfum dan skincare murah igrs film,"['parfum', 'skincare']",1
2040929537035530653,2026-04-05 23:08:14+00:00,0,"APA ITU KARAT? UDAH GAK KHAWATIR LAGI 🩷 

semenjak di rumah pake ini 👇 
https://t.co/N3PpF16Y03

KARAT AUTO LUNTUR DALAM HITUNGAN DETIK 🚗✨
tinggal semprot, karat rontok tanpa digosok 💥🔥

Selamat Paskah IGRS voucher bonus parfum dan skincare murah Happy Easter Senin Steam https://t.co/hLs4N1Cu9B",2040929537035530653,https://pbs.twimg.com/amplify_video_thumb/2040929473487638528/img/mnVkrBhhgmF2q_1Y.jpg,,in,,0,0,0,https://x.com/diamdiamcapek/status/2040929537035530653,2022535508195450880,diamdiamcapek,45,id,keep_id_anchor,False,apa itu karat sudah tidak khawatir lagi semenjak di rumah pake ini karat auto luntur dalam hitungan detik tinggal semprot karat rontok tanpa digosok selamat paskah igrs voucher bonus parfum dan skincare murah happy easter senin steam,"['parfum', 'skincare', 'voucher']",1
2040895809399746617,2026-04-05 20:54:13+00:00,22,"ibu vs anak tiri kebun sawit viral
https://t.co/76T0dKOtYS
Ojol di bali yang lagi viral
https://t.co/fUiooafycz
Bocil sok imut viral
https://t.co/ZY5GE288oU
Mukena Pink yang lagi viral
https://t.co/taoTNUmk6j

Eklusif Di Lazada parfum dan skincare murah IGRS komdigi Gapapa Golda https://t.co/Y7qrLARoiX",2040895809399746617,https://pbs.twimg.com/media/HFK2kMNaYAA0jOE.jpg,,in,,0,4,1,https://x.com/diechwq/status/2040895809399746617,2420039203,diechwq,53,id,keep_id_anchor,False,ibu vs anak tiri kebun sawit viral ojol di bali yang lagi viral bocil sok imut viral mukena pink yang lagi viral eklusif di lazada parfum dan skincare murah igrs komdigi gapapa golda,"['lazada', 'parfum', 'skincare', 'tiri']",1
2040867697886740986,2026-04-05 19:02:31+00:00,3,"Hoki dapet 2 abg
https://t.co/fqBjClZwJb
https://t.co/y09trkGuzb
https://t.co/4pEr1Kjj9a

Komdigi mengecam tidur igrs jauhi senin pagi malam selasa",2040867697886740986,,,in,,0,11,0,https://x.com/luctvie/status/2040867697886740986,1581568910,luctvie,25,id,keep_id_anchor,False,hoki dapet abg komdigi mengecam tidur igrs jauhi senin pagi malam selasa,['abg'],1
2040863929342242870,2026-04-05 18:47:32+00:00,4,"open vcs cs tele wa di bio

tidur mengecam risih jujur kids pack sebong golda hokben igrs
#vcscrottt https://t.co/V0bNCAm0rY",2040863929342242870,https://pbs.twimg.com/media/HFKa7IIaEAAidSR.jpg,,in,,0,0,4,https://x.com/foyrestl/status/2040863929342242870,1942805661840203777,foyrestl,22,nl,keep_id_anchor,False,open vcs cs tele wa di bio tidur mengecam risih jujur kids pack sebong golda hokben igrs vcscrottt,"['tele', 'vcs', 'bio']",1
2040851652224426164,2026-04-05 17:58:45+00:00,0,Parfum Dan Skincare Murah tidak ada kenaikan bbm IGRS prabowo melindungi rakyat #LoveYouTeacherSeriesEP4 eksklusif di lazada GEMINIFOURTH LKN DOO GOHAN DEW TEE X MR KILL BEGINS Senin https://t.co/1s72ZQi40i,2040851652224426164,https://pbs.twimg.com/ext_tw_video_thumb/2040851582271864832/pu/img/bcPgg1vwgsLm-syD.jpg,,in,,0,0,0,https://x.com/lani_nita76327/status/2040851652224426164,1969542953728425984,lani_nita76327,31,id,keep_id_anchor,False,parfum dan skincare murah tidak ada kenaikan bbm igrs prabowo melindungi rakyat loveyouteacherseriesep eksklusif di lazada geminifourth lkn doo gohan dew tee x mr kill begins senin,"['lazada', 'parfum', 'skincare']",1
2040825484628615315,2026-04-05 16:14:46+00:00,4,"ready vcs cs cek bio

senin tidak ada kenaikan bbm prabowo melindungi rakyat puma bella v jauhi eksklusif di lazada igrs #vcscrottt https://t.co/ArYadAqKSF",2040825484628615315,https://pbs.twimg.com/media/HFJ39VXaYAAZJmP.jpg,,in,,0,5,4,https://x.com/foyrestl/status/2040825484628615315,1942805661840203777,foyrestl,26,id,keep_id_anchor,False,ready vcs cs cek bio senin tidak ada kenaikan bbm prabowo melindungi rakyat puma bella v jauhi eksklusif di lazada igrs vcscrottt,"['lazada', 'vcs', 'bio']",1
2040811274284761579,2026-04-05 15:18:18+00:00,0,"Jujur pas gue ngikutin isu IGRS, gue sempet mikir, 

Are we forced to do gambling to these sites that MASSIVELY PROMOTED on the internet?! https://t.co/xUf33ADTVo",2040811274284761579,https://pbs.twimg.com/media/HFJrCgTboAA57AK.jpg,,en,,0,1,0,https://x.com/Akhsa_Akhsara/status/2040811274284761579,1274276367803183109,Akhsa_Akhsara,28,en,keep_id_anchor,False,jujur pas saya ngikutin isu igrs saya sempet mikir are we forced to do gambling to these sites that massively promoted on the internet,['promo'],1
2041584032576893137,2026-04-07 18:28:58+00:00,4,"open vcs cs tele wa di bio
1 usd malam tirta andra igrs dadan
#vcscrottt https://t.co/dzpZTCX5KW",2041584032576893137,https://pbs.twimg.com/media/HFUp2pZa8AUR12a.jpg,,in,,0,2,4,https://x.com/foyrestl/status/2041584032576893137,1942805661840203777,foyrestl,19,ca,keep_id_anchor,False,open vcs cs tele wa di bio usd malam tirta andra igrs dadan vcscrottt,"['tele', 'vcs', 'bio', 'tirta']",1
2041577937724637411,2026-04-07 18:04:46+00:00,1,"Berikut daftar negara yang sudah diizinkan Iran melewati Selat Hormuz:

1. China
2. Thailand
3. Malaysia
4. Jepang
5. Irak
6. Filipina
7. Pakistan
8. India
9. Bangladesh
10. Turki
11. Oman
12. Rusia
((Malam, Senin, Dadan,, Tirta, IGRS, Andra, Sena))",2041577940769796251,,YudhaShanny2,in,,0,0,0,https://x.com/YudhaShanny2/status/2041577940769796251,1244292531090624512,YudhaShanny2,41,id,keep_id_anchor,False,berikut daftar negara yang sudah diizinkan iran melewati selat hormuz china thailand malaysia jepang irak filipina pakistan india bangladesh turki oman rusia malam senin dadan tirta igrs andra sena,['tirta'],1
